:Product: Daily Geomagnetic Data     quar_DGD.txt
:Issued: 1530 UT 23 Feb 2022
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#             Current Quarter Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2022 01 28     7  1 2 2 1 1 2 2 3    10  1 1 3 3 3 2 1 3     8  2 2 2 1 1 1 2 4
2022 01 29    14  3 4 3 3 4 2 1 1    38  2 3 5 6 7 2 1 0    17  4 4 4 3 4 1 1 1
2022 01 30     8  2 3 3 1 2 2 1 2    12  1 2 3 3 4 3 1 2    10  3 3 3 2 2 2 1 3
2022 01 31     8  2 3 2 3 2 2 1 1    30  2 3 5 6 4 5 2 2    10  3 3 2 3 2 2 2 2
2022 02 01     5  1 2 0 1 1 1 1 3     5  0 1 1 2 3 1 0 2     7  2 2 1 1 2 1 1 4
2022 02 02     9  3 3 1 0 2 4 1 1     9  2 0 0 0 3 5 1 0    12  4 3 1 1 2 4 2 1
2022 02 03    18  2 4 5 4 3 2 2 2    48  1 2 6 7 6 5 3 2    27  2 4 5 5 4 3 3 3
2022 02 04    18  4 3 3 3 3 4 3 3    61  3 5 6 6 6 6 6 4    32  4 4 3 4 4 5 5 4
2022 02 05    10  3 3 1 3 2 2 2 2    17  3 2 3 5 3 3 3 2    12  3 3 2 3 3 3 3 2
2022 02 06    12  3 3 3 3 3 2 2 2    19  2 3 3 5 5 1 2 2    15  4 3 3 3 3 2 2 3
2022 02 07     4  1 1 0 2 1 2 2 1     7  1 1 2 3 2 3 1 1     7  2 2 1 1 1 3 2 2
2022 02 08     3  1 0 1 1 1 1 1 1     7  1 0 1 4 2 2 1 1     5  2 0 1 1 1 2 2 1
2022 02 09     2  0 0 0 1 1 1 1 2     0  0 0 0 0 0 0 0 1     3  1 0 1 1 0 0 1 2
2022 02 10    12  1 2 1 2 3 4 3 3    39  1 1 2 3 3 7 6 5    21  3 2 2 2 3 5 5 4
2022 02 11    12  4 2 2 3 1 2 3 3    14  3 3 3 3 1 2 4 3    20  4 3 2 4 1 3 5 4
2022 02 12    10  3 3 2 1 2 3 2 2    18  3 2 3 4 4 4 3 2    13  3 3 2 2 3 3 3 3
2022 02 13     9  3 2 2 2 3 2 2 2    21  3 2 3 5 5 4 2 1    15  4 3 2 3 3 3 3 3
2022 02 14     6  2 2 2 2 2 2 1 0    13  2 1 3 5 2 3 2 0     8  3 2 2 2 2 2 2 1
2022 02 15     3  1 2 1 0 1 0 1 1     3  2 1 0 0 1 2 0 0     5  2 2 1 1 1 0 1 1
2022 02 16     6  0 2 2 1 3 1 2 2     9  0 0 2 4 3 3 2 1     9  1 2 2 2 2 2 3 3
2022 02 17     4  2 1 1 0 1 2 1 1     2  1 1 1 1 2 0 0 0     5  2 2 1 1 1 0 1 1
2022 02 18     5  0 0 2 1 2 2 2 2     8  0 0 2 2 4 3 2 1     6  0 1 1 1 2 2 2 2
2022 02 19     6  2 2 2 1 2 2 1 2    17  1 4 3 4 4 4 2 1     9  3 3 2 2 2 2 2 2
2022 02 20     8  3 3 1 1 1 3 2 1    10  4 3 1 3 0 2 2 1    13  5 3 2 2 1 2 3 2
2022 02 21    11  1 1 2 2 4 3 2 3    36  1 0 4 6 7 4 2 2    12  1 1 2 3 4 3 3 3
2022 02 22    13  3 4 4 3 2 1 2 1    23  2 4 6 5 3 0 1 1    16  3 4 5 3 2 1 2 2
2022 02 23    -1  0 0 2 1 2-1-1-1    -1  1 0 2 3 4-1-1-1     6  1 0 2 2 2-1-1-1
