:Product: Daily Particle Data        quar_DPD.txt
:Issued: 0223 UT 07 Oct 2018
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comments and suggestions to SWPC.Webmaster@noaa.gov
#
#               Current Quarter Daily Particle Data
#
#              GOES-15 Proton Fluence     GOES-15 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.8 MeV   >2 MeV           % of bkgd
#-------------------------------------------------------------------------------
2018 07 23    3.0e+05  1.9e+04  3.8e+03   2.3e+09    9.2e+06          -999.99
2018 07 24    6.2e+05  1.8e+04  3.6e+03   1.1e+09    5.3e+06          -999.99
2018 07 25    1.3e+06  1.8e+04  3.6e+03   4.8e+09    1.2e+08          -999.99
2018 07 26    8.8e+05  1.8e+04  3.7e+03   5.5e+09    1.2e+08          -999.99
2018 07 27    1.1e+06  1.9e+04  3.5e+03   5.6e+09    1.5e+08          -999.99
2018 07 28    9.6e+05  1.8e+04  3.9e+03   5.0e+09    1.1e+08          -999.99
2018 07 29    8.5e+05  1.9e+04  4.0e+03   4.0e+09    9.7e+07          -999.99
2018 07 30    9.5e+05  1.8e+04  3.6e+03   2.9e+09    7.7e+07          -999.99
2018 07 31    1.1e+06  1.8e+04  3.5e+03   1.4e+09    1.9e+07          -999.99
2018 08 01    1.2e+06  1.9e+04  3.6e+03   9.7e+08    8.8e+06          -999.99
2018 08 02    1.0e+06  1.8e+04  3.7e+03   5.2e+08    3.3e+06          -999.99
2018 08 03    2.4e+06  1.8e+04  3.6e+03   5.2e+08    3.7e+06          -999.99
2018 08 04    1.9e+06  1.8e+04  3.8e+03   5.0e+08    4.7e+06          -999.99
2018 08 05    1.3e+06  1.8e+04  3.8e+03   3.7e+08    3.4e+06          -999.99
2018 08 06    1.6e+06  1.8e+04  3.6e+03   2.3e+08    2.2e+06          -999.99
2018 08 07    1.1e+06  1.9e+04  3.7e+03   1.3e+08    7.4e+05          -999.99
2018 08 08    8.7e+05  1.8e+04  3.6e+03   1.2e+08    6.6e+05          -999.99
2018 08 09    8.3e+05  1.8e+04  3.8e+03   2.5e+08    1.1e+06          -999.99
2018 08 10    9.0e+05  1.7e+04  3.6e+03   3.5e+08    1.5e+06          -999.99
2018 08 11    1.0e+06  1.7e+04  3.7e+03   1.5e+08    6.2e+05          -999.99
2018 08 12    8.0e+05  1.8e+04  3.7e+03   3.7e+08    5.5e+05          -999.99
2018 08 13    6.8e+05  1.8e+04  3.8e+03   6.4e+08    7.8e+05          -999.99
2018 08 14    1.2e+06  1.8e+04  3.8e+03   7.1e+08    1.3e+06          -999.99
2018 08 15    8.7e+05  1.7e+04  3.6e+03   6.6e+08    8.7e+05          -999.99
2018 08 16    2.2e+05  1.7e+04  3.6e+03   1.2e+09    8.0e+06          -999.99
2018 08 17    3.1e+05  1.6e+04  3.4e+03   1.4e+09    1.2e+07          -999.99
2018 08 18    1.2e+06  1.7e+04  3.5e+03   5.7e+09    1.9e+08          -999.99
2018 08 19    1.1e+06  1.7e+04  3.8e+03   8.1e+09    4.7e+08          -999.99
2018 08 20    2.3e+06  1.7e+04  3.4e+03   2.8e+09    7.1e+07          -999.99
2018 08 21    2.9e+06  1.6e+04  3.4e+03   9.4e+09    3.5e+08          -999.99
2018 08 22    2.1e+06  1.7e+04  3.5e+03   5.7e+09    1.9e+08          -999.99
2018 08 23    1.6e+06  1.8e+04  3.8e+03   5.1e+09    1.7e+08          -999.99
2018 08 24    1.7e+06  1.7e+04  3.6e+03   3.8e+09    1.1e+08          -999.99
2018 08 25    1.6e+06  1.7e+04  3.5e+03   1.6e+09    3.1e+07          -999.99
2018 08 26    5.7e+06  1.7e+04  3.4e+03   2.8e+09    1.2e+08          -999.99
2018 08 27    4.2e+06  1.8e+04  3.6e+03   8.1e+09    8.8e+08          -999.99
2018 08 28    2.6e+06  1.7e+04  3.5e+03   1.5e+10    3.5e+09          -999.99
2018 08 29    1.7e+06  1.7e+04  3.5e+03   1.4e+10    3.1e+09          -999.99
2018 08 30    2.1e+06  1.7e+04  3.5e+03   1.4e+10    3.2e+09          -999.99
2018 08 31    2.5e+06  1.7e+04  3.5e+03   1.0e+10    1.9e+09          -999.99
2018 09 01    1.9e+06  1.8e+04  3.5e+03   7.1e+09    1.0e+09          -999.99
2018 09 02    2.4e+06  1.8e+04  3.4e+03   5.5e+09    7.4e+08          -999.99
2018 09 03    2.3e+06  1.8e+04  3.7e+03   3.7e+09    4.4e+08          -999.99
2018 09 04    2.1e+06  1.7e+04  3.4e+03   1.9e+09    1.1e+08          -999.99
2018 09 05    6.2e+05  1.7e+04  3.6e+03   1.1e+09    2.5e+07          -999.99
2018 09 06    8.8e+05  1.7e+04  3.6e+03   3.5e+09    5.1e+07          -999.99
2018 09 07    6.0e+05  1.7e+04  3.5e+03   2.3e+09    3.8e+07          -999.99
2018 09 08    7.5e+05  1.7e+04  3.5e+03   1.9e+09    4.4e+07          -999.99
2018 09 09    7.5e+05  1.7e+04  3.7e+03   1.4e+09    3.5e+07          -999.99
2018 09 10    1.4e+06  1.7e+04  3.5e+03   7.5e+08    2.2e+07          -999.99
2018 09 11    5.8e+05  1.6e+04  3.3e+03   1.2e+09    9.4e+06          -999.99
2018 09 12    1.1e+06  1.6e+04  3.3e+03   4.5e+09    4.7e+07          -999.99
2018 09 13    1.4e+06  1.7e+04  3.5e+03   4.2e+09    1.5e+08          -999.99
2018 09 14    1.4e+06  1.7e+04  3.6e+03   9.4e+09    9.8e+08          -999.99
2018 09 15    8.4e+05  1.7e+04  3.6e+03   1.1e+10    1.2e+09          -999.99
2018 09 16    1.1e+06  1.7e+04  3.6e+03   1.2e+10    1.5e+09          -999.99
2018 09 17    1.2e+06  1.7e+04  3.5e+03   4.9e+09    5.0e+08          -999.99
2018 09 18    1.2e+06  1.7e+04  3.5e+03   4.0e+09    2.7e+08          -999.99
2018 09 19    1.1e+06  1.7e+04  3.5e+03   5.4e+09    4.0e+08          -999.99
2018 09 20    1.1e+06  1.7e+04  3.5e+03   5.5e+09    4.4e+08          -999.99
2018 09 21    2.0e+06  1.6e+04  3.6e+03   4.6e+09    4.3e+08          -999.99
2018 09 22    1.9e+06  1.6e+04  3.3e+03   2.6e+09    7.9e+07          -999.99
2018 09 23    5.4e+05  1.5e+04  3.4e+03   4.2e+09    2.6e+08          -999.99
2018 09 24    6.8e+05  1.7e+04  3.5e+03   3.0e+09    1.9e+08          -999.99
2018 09 25    8.4e+05  1.8e+04  4.0e+03   1.8e+09    8.5e+07          -999.99
2018 09 26    7.8e+05  1.7e+04  3.6e+03   1.6e+09    5.5e+07          -999.99
2018 09 27    1.1e+06  1.6e+04  3.7e+03   3.0e+09    9.1e+07          -999.99
2018 09 28    1.7e+06  1.7e+04  3.8e+03   1.8e+09    5.2e+07          -999.99
2018 09 29    9.5e+05  1.7e+04  3.8e+03   1.2e+09    2.4e+07          -999.99
2018 09 30    7.1e+05  1.6e+04  3.5e+03   1.7e+09    3.3e+07          -999.99
