:Product: Daily Particle Data        quar_DPD.txt
:Issued: 0223 UT 07 Jan 2019
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comments and suggestions to SWPC.Webmaster@noaa.gov
#
#               Current Quarter Daily Particle Data
#
#              GOES-15 Proton Fluence     GOES-15 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.8 MeV   >2 MeV           % of bkgd
#-------------------------------------------------------------------------------
2018 10 22    2.7e+05  1.7e+04  3.7e+03   2.4e+08    1.0e+06          -999.99
2018 10 23    4.1e+05  1.6e+04  3.9e+03   2.8e+08    1.7e+06          -999.99
2018 10 24    3.2e+05  1.6e+04  3.7e+03   2.3e+08    1.8e+06          -999.99
2018 10 25    2.8e+05  1.6e+04  3.6e+03   1.8e+08    1.7e+06          -999.99
2018 10 26    4.3e+05  1.7e+04  3.7e+03   2.0e+08    1.8e+06          -999.99
2018 10 27    3.6e+05  1.6e+04  3.6e+03   9.4e+07    6.1e+05          -999.99
2018 10 28    4.1e+05  1.6e+04  3.6e+03   9.3e+07    8.4e+05          -999.99
2018 10 29    5.2e+05  1.7e+04  3.7e+03   1.0e+08    1.0e+06          -999.99
2018 10 30    5.4e+05  1.6e+04  3.7e+03   7.7e+07    8.1e+05          -999.99
2018 10 31    5.6e+05  1.6e+04  3.8e+03   4.9e+07    8.0e+05          -999.99
2018 11 01    3.1e+05  1.7e+04  3.8e+03   1.4e+07    2.3e+05          -999.99
2018 11 02    3.3e+05  1.7e+04  3.7e+03   1.4e+07    4.8e+05          -999.99
2018 11 03    3.4e+05  1.7e+04  3.8e+03   1.5e+07    5.7e+05          -999.99
2018 11 04    1.0e+06  1.7e+04  3.6e+03   8.9e+07    3.1e+05          -999.99
2018 11 05    3.2e+06  1.6e+04  3.3e+03   2.0e+09    5.5e+07          -999.99
2018 11 06    1.3e+06  1.7e+04  3.7e+03   6.4e+09    2.2e+08          -999.99
2018 11 07    1.0e+06  1.7e+04  3.8e+03   6.5e+09    2.9e+08          -999.99
2018 11 08    2.6e+06  1.6e+04  3.5e+03   4.0e+09    1.3e+08          -999.99
2018 11 09    2.3e+06  1.7e+04  3.8e+03   3.6e+09    1.3e+08          -999.99
2018 11 10    4.5e+05  1.6e+04  3.5e+03   6.0e+08    3.1e+06          -999.99
2018 11 11    6.8e+05  1.7e+04  3.5e+03   4.3e+09    4.2e+07          -999.99
2018 11 12    6.1e+05  1.6e+04  3.5e+03   3.0e+09    3.6e+07          -999.99
2018 11 13    4.8e+05  1.6e+04  3.6e+03   4.5e+09    7.1e+07          -999.99
2018 11 14    7.7e+05  1.6e+04  3.6e+03   4.3e+09    8.0e+07          -999.99
2018 11 15    7.8e+05  1.7e+04  3.6e+03   3.5e+09    6.7e+07          -999.99
2018 11 16    7.8e+05  1.6e+04  3.7e+03   2.9e+09    6.3e+07          -999.99
2018 11 17    6.2e+05  1.7e+04  3.6e+03   2.3e+09    4.6e+07          -999.99
2018 11 18    1.2e+06  1.6e+04  3.7e+03   2.0e+09    3.8e+07          -999.99
2018 11 19    8.6e+05  1.6e+04  3.7e+03   6.6e+08    7.9e+06          -999.99
2018 11 20    7.0e+05  1.7e+04  3.9e+03   2.6e+08    1.8e+06          -999.99
2018 11 21    3.4e+05  1.6e+04  3.6e+03   2.2e+08    1.5e+06          -999.99
2018 11 22    3.4e+05  1.7e+04  3.7e+03   2.6e+08    2.4e+06          -999.99
2018 11 23    5.0e+05  1.7e+04  3.7e+03   2.5e+08    3.5e+06          -999.99
2018 11 24    5.2e+05  1.7e+04  3.8e+03   2.0e+08    3.1e+06          -999.99
2018 11 25    3.5e+05  1.7e+04  3.8e+03   1.3e+08    1.7e+06          -999.99
2018 11 26    4.0e+05  1.7e+04  3.9e+03   1.2e+08    2.0e+06          -999.99
2018 11 27    6.2e+05  1.8e+04  3.5e+03   8.7e+07    1.6e+06          -999.99
2018 11 28    4.1e+05  1.7e+04  3.8e+03   4.8e+07    4.6e+05          -999.99
2018 11 29    9.9e+05  1.7e+04  4.0e+03   5.2e+07    8.0e+05          -999.99
2018 11 30    1.0e+06  1.7e+04  3.6e+03   5.2e+07    9.5e+05          -999.99
2018 12 01    1.1e+06  1.7e+04  3.8e+03   3.2e+07    6.0e+05          -999.99
2018 12 02    6.4e+05  1.6e+04  3.6e+03   2.0e+08    3.4e+05          -999.99
2018 12 03    1.2e+06  1.7e+04  3.7e+03   8.4e+08    7.7e+05          -999.99
2018 12 04    5.0e+05  1.6e+04  3.5e+03   1.0e+09    1.9e+06          -999.99
2018 12 05    3.7e+05  1.7e+04  3.8e+03   1.0e+09    2.0e+06          -999.99
2018 12 06    3.7e+05  1.6e+04  3.8e+03   1.2e+09    3.9e+06          -999.99
2018 12 07    6.4e+05  1.6e+04  3.6e+03   1.1e+09    3.6e+06          -999.99
2018 12 08    7.2e+05  1.6e+04  3.5e+03   2.2e+09    1.3e+07          -999.99
2018 12 09    7.8e+05  1.7e+04  3.7e+03   1.7e+09    1.2e+07          -999.99
2018 12 10    3.1e+06  1.6e+04  3.7e+03   3.1e+09    3.1e+07          -999.99
2018 12 11    2.1e+06  1.6e+04  3.8e+03   5.1e+09    9.4e+07          -999.99
2018 12 12    2.2e+06  1.7e+04  3.8e+03   5.5e+09    1.3e+08          -999.99
2018 12 13    2.4e+06  1.6e+04  4.0e+03   4.4e+09    1.0e+08          -999.99
2018 12 14    2.9e+06  1.7e+04  4.0e+03   3.9e+09    1.0e+08          -999.99
2018 12 15    2.4e+06  1.7e+04  3.7e+03   3.4e+09    7.6e+07          -999.99
2018 12 16    3.0e+06  1.7e+04  3.9e+03   2.9e+09    7.0e+07          -999.99
2018 12 17    3.1e+06  1.7e+04  3.8e+03   1.8e+09    3.7e+07          -999.99
2018 12 18    1.5e+06  1.7e+04  4.0e+03   3.2e+08    4.7e+06          -999.99
2018 12 19    1.2e+06  1.7e+04  4.1e+03   4.3e+08    6.5e+06          -999.99
2018 12 20    8.2e+05  1.7e+04  3.9e+03   9.3e+08    6.0e+06          -999.99
2018 12 21    6.7e+05  1.7e+04  4.1e+03   2.1e+09    1.3e+07          -999.99
2018 12 22    7.3e+05  1.7e+04  4.0e+03   1.8e+09    1.4e+07          -999.99
2018 12 23    1.1e+06  1.8e+04  3.9e+03   1.7e+09    1.7e+07          -999.99
2018 12 24    9.7e+05  1.7e+04  4.0e+03   1.3e+09    1.4e+07          -999.99
2018 12 25    1.2e+06  1.6e+04  3.5e+03   7.5e+08    6.7e+06          -999.99
2018 12 26    9.4e+05  1.7e+04  3.9e+03   2.7e+08    1.4e+06          -999.99
2018 12 27    2.1e+06  1.8e+04  3.9e+03   2.1e+08    1.8e+06          -999.99
2018 12 28    2.5e+06  1.7e+04  4.0e+03   7.2e+08    1.8e+06          -999.99
2018 12 29    1.7e+06  1.7e+04  3.5e+03   4.0e+09    6.5e+07          -999.99
2018 12 30    1.6e+06  1.7e+04  4.0e+03   4.5e+09    1.2e+08          -999.99
2018 12 31    9.5e+05  1.6e+04  3.8e+03   3.6e+09    8.5e+07          -999.99
