:Product: Daily Particle Data        quar_DPD.txt
:Issued: 0223 UT 07 Apr 2018
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comments and suggestions to SWPC.Webmaster@noaa.gov
#
#               Current Quarter Daily Particle Data
#
#              GOES-15 Proton Fluence     GOES-15 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.8 MeV   >2 MeV           % of bkgd
#-------------------------------------------------------------------------------
2018 02 27    1.2e+06  1.6e+04  3.5e+03   1.3e+09    1.7e+07          -999.99
2018 02 28    5.5e+05  1.6e+04  3.6e+03   2.7e+09    2.3e+07          -999.99
2018 03 01    5.5e+05  1.6e+04  3.8e+03   3.2e+09    3.4e+07          -999.99
2018 03 02    5.6e+05  1.6e+04  3.4e+03   2.6e+09    3.0e+07          -999.99
2018 03 03    1.1e+06  1.7e+04  3.7e+03   2.0e+09    2.8e+07          -999.99
2018 03 04    3.0e+05  1.6e+04  3.6e+03   3.0e+08    2.2e+06          -999.99
2018 03 05    2.1e+05  1.5e+04  3.4e+03   2.0e+08    2.2e+06          -999.99
2018 03 06    1.7e+05  1.6e+04  3.5e+03   2.0e+08    1.7e+06          -999.99
2018 03 07    2.3e+05  1.6e+04  3.6e+03   2.0e+08    1.4e+06          -999.99
2018 03 08    2.7e+05  1.6e+04  3.4e+03   1.6e+08    1.6e+06          -999.99
2018 03 09    5.2e+05  1.6e+04  3.5e+03   1.2e+08    1.4e+06          -999.99
2018 03 10    4.9e+05  1.6e+04  3.5e+03   9.0e+08    2.3e+06          -999.99
2018 03 11    2.2e+05  1.6e+04  3.7e+03   1.0e+09    1.5e+06          -999.99
2018 03 12    2.3e+05  1.6e+04  3.5e+03   9.4e+08    1.9e+06          -999.99
2018 03 13    2.2e+05  1.6e+04  3.7e+03   6.3e+08    1.2e+06          -999.99
2018 03 14    7.9e+05  1.7e+04  3.7e+03   3.3e+08    4.9e+05          -999.99
2018 03 15    7.6e+05  1.6e+04  3.6e+03   1.3e+09    5.8e+06          -999.99
2018 03 16    1.9e+06  1.6e+04  3.4e+03   4.1e+09    2.1e+08          -999.99
2018 03 17    5.3e+05  1.5e+04  3.3e+03   4.2e+09    2.2e+08          -999.99
2018 03 18    1.8e+06  1.6e+04  3.5e+03   4.0e+09    1.6e+08          -999.99
2018 03 19    1.3e+06  1.7e+04  3.7e+03   7.2e+09    4.8e+08          -999.99
2018 03 20    8.5e+05  1.6e+04  3.5e+03   8.7e+09    7.5e+08          -999.99
2018 03 21    9.7e+05  1.7e+04  3.8e+03   9.3e+09    8.5e+08          -999.99
2018 03 22    1.4e+06  1.6e+04  3.6e+03   6.5e+09    5.3e+08          -999.99
2018 03 23    6.1e+05  1.5e+04  3.1e+03   1.0e+09    1.8e+07          -999.99
2018 03 24    7.2e+05  1.6e+04  3.3e+03   2.7e+09    4.7e+07          -999.99
2018 03 25    7.7e+05  1.6e+04  3.3e+03   3.0e+09    1.1e+08          -999.99
2018 03 26    7.2e+05  1.6e+04  3.5e+03   6.3e+09    3.4e+08          -999.99
2018 03 27    1.0e+06  1.6e+04  3.4e+03   1.1e+10    1.4e+09          -999.99
2018 03 28    9.7e+05  1.6e+04  3.5e+03   1.5e+10    2.3e+09          -999.99
2018 03 29    1.0e+06  1.7e+04  3.8e+03   1.1e+10    1.3e+09          -999.99
2018 03 30    1.3e+06  1.6e+04  3.5e+03   6.0e+09    4.6e+08          -999.99
2018 03 31    8.8e+05  1.6e+04  3.5e+03   3.5e+09    1.6e+08          -999.99
