:Product: Daily Geomagnetic Data     quar_DGD.txt
:Issued: 2130 UT 07 Jan 2018
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#             Current Quarter Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2017 11 10    13  3 3 3 2 3 3 2 3    53  3 3 6 7 6 6 2 2    21  3 4 4 4 4 4 3 3
2017 11 11     7  3 2 3 2 1 1 1 1    16  3 2 3 5 4 2 1 1     8  3 2 2 2 2 1 1 1
2017 11 12     4  0 2 1 1 1 1 1 2     4  1 1 0 3 2 0 0 1     6  1 2 1 1 1 1 2 2
2017 11 13     6  2 2 2 2 1 2 1 1     9  0 1 2 4 3 3 1 0     6  2 2 2 2 1 2 1 1
2017 11 14     8  3 3 2 2 1 2 1 2    18  1 1 4 5 3 4 3 2    11  3 3 3 2 1 3 2 3
2017 11 15    11  1 3 3 3 2 3 2 2    27  1 2 5 6 3 5 2 2    14  2 3 3 4 2 4 3 2
2017 11 16    11  4 3 3 2 2 1 1 2    15  2 3 4 5 2 1 1 2    14  4 4 3 2 1 1 2 3
2017 11 17     5  2 2 2 2 1 1 0 1    19  1 2 4 6 4 1 0 1     6  1 2 2 3 2 0 0 1
2017 11 18     5  2 1 2 2 1 1 1 1    13  0 1 5 4 3 2 1 0     6  2 2 2 2 2 1 1 2
2017 11 19     5  1 2 3 1 1 0 1 1     2  0 1 2 1 0 0 0 0     5  1 2 3 1 0 0 1 1
2017 11 20     7  1 0 0 0 1 2 3 4     2  0 0 0 1 0 0 2 1     8  1 1 0 1 1 2 3 4
2017 11 21    16  3 4 4 3 2 2 3 3    33  2 5 6 5 4 4 3 3    28  4 5 5 4 3 3 4 4
2017 11 22     7  2 2 2 2 2 1 2 2    25  2 2 5 5 5 4 2 2    10  3 3 2 2 3 2 3 2
2017 11 23     7  2 1 2 3 2 1 1 2    13  0 0 3 4 5 2 1 1     9  2 1 3 3 2 2 2 3
2017 11 24     8  2 2 3 0 1 1 3 3     6  2 2 2 2 0 0 2 3    10  3 2 2 1 0 0 3 3
2017 11 25     4  3 2 1 1 0 0 0 0     5  3 1 2 3 0 0 0 0     7  4 3 2 1 0 1 1 0
2017 11 26     2  0 1 0 0 1 1 2 1     1  0 0 0 1 1 0 0 0     3  0 0 1 1 1 1 1 1
2017 11 27     4  1 1 2 0 2 1 2 1     1  0 0 0 0 1 0 1 0     5  2 1 1 1 2 1 2 1
2017 11 28     6  3 2 1 1 2 1 1 1    11  2 1 1 5 4 0 1 0     8  4 2 2 2 2 1 1 1
2017 11 29     4  1 1 2 1 0 1 1 2     3  0 0 3 1 0 0 0 1     5  1 1 2 1 0 1 1 2
2017 11 30     9  2 4 1 1 2 2 2 2    11  1 2 0 3 4 4 1 1    11  2 4 1 1 3 3 2 3
2017 12 01     5  0 3 1 1 1 2 2 1     5  1 1 1 1 3 2 1 0     8  2 3 2 1 1 3 2 1
2017 12 02     2  0 0 0 0 1 2 1 1     3  0 0 1 0 0 3 1 0     4  1 0 1 1 0 3 1 1
2017 12 03     1  0 0 0 0 0 1 0 1     0  0 0 0 1 0 0 0 0     2  0 0 0 1 0 0 0 1
2017 12 04     6  0 0 2 2 2 3 2 2    15  0 0 1 3 5 3 4 3    11  0 0 2 1 2 4 3 4
2017 12 05    21  3 3 4 4 4 4 3 3    55  3 2 5 7 7 5 4 3    29  4 3 4 5 5 4 4 4
2017 12 06    13  3 4 3 2 2 2 3 2    22  2 4 4 5 4 4 2 1    16  3 4 3 2 3 3 3 2
2017 12 07     9  2 2 2 1 3 3 2 2    12  1 1 3 1 5 3 2 1    10  2 3 2 1 3 3 2 2
2017 12 08     4  1 1 2 1 1 1 1 1     8  2 1 2 3 4 1 0 0     5  2 2 2 1 2 1 1 1
2017 12 09     3  1 1 0 0 1 2 1 1     2  0 0 0 1 2 2 0 0     4  1 1 1 1 1 1 1 0
2017 12 10     2  0 0 2 0 1 0 0 1     2  0 0 2 0 2 0 0 1     3  0 0 1 0 1 1 0 1
2017 12 11     8  0 2 3 2 3 2 2 1    25  0 1 3 6 6 3 2 1    10  1 3 3 2 3 2 3 1
2017 12 12     9  2 2 2 3 1 2 3 2    19  0 3 3 5 4 3 4 2    13  3 3 3 3 2 3 4 3
2017 12 13     4  0 0 1 1 2 2 2 2     9  1 0 2 4 4 2 1 0     7  1 1 2 1 2 2 3 3
2017 12 14     2  2 0 0 0 1 1 1 1     3  1 0 0 2 3 0 0 0     5  3 1 1 1 1 0 1 1
2017 12 15     3  0 1 0 1 2 1 1 1     2  0 0 0 1 2 1 1 1     5  1 1 1 1 2 1 1 2
2017 12 16     3  0 1 1 0 1 1 1 2     3  0 0 1 2 2 0 0 1     4  0 0 1 1 1 1 1 2
2017 12 17    16  2 2 4 3 3 3 4 3    40  0 2 4 6 5 6 5 4    24  3 3 5 3 3 4 5 4
2017 12 18    12  3 3 4 3 2 2 1 1    37  3 5 7 5 4 2 2 1    17  4 4 4 3 3 2 2 1
2017 12 19     4  1 1 1 0 1 2 2 2     2  0 0 0 0 1 2 1 1     6  1 1 1 1 1 2 2 3
2017 12 20     3  1 2 1 1 1 1 1 0    12  2 2 4 5 2 1 0 0     5  2 2 1 2 1 1 2 0
2017 12 21     2  0 1 0 1 1 1 0 0     6  0 0 1 4 3 1 0 0     3  1 1 1 1 1 1 0 0
2017 12 22     2  0 1 1 0 0 1 1 1     0  0 0 0 0 1 0 0 0     2  0 1 1 0 0 0 0 1
2017 12 23     4  1 2 1 2 1 0 2 1     6  0 1 1 4 3 0 0 0     5  1 3 2 2 1 0 1 1
2017 12 24     9  1 2 2 2 3 2 2 3    32  0 1 2 7 5 5 2 1    12  1 2 2 3 3 3 3 3
2017 12 25     9  3 1 3 3 1 1 2 2    10  2 1 4 3 1 3 2 1    10  3 1 2 3 1 2 3 2
2017 12 26     8  2 2 1 2 1 1 3 3    11  1 3 1 4 2 2 3 2    11  3 3 1 2 1 1 4 3
2017 12 27     6  2 2 2 1 1 2 1 2     8  2 1 1 3 2 3 1 2     7  2 3 2 1 1 2 2 2
2017 12 28     2  0 0 2 1 1 1 0 1     4  0 0 2 2 2 2 0 0     5  1 1 2 1 2 2 1 2
2017 12 29     3  1 1 0 1 1 1 2 1     2  0 0 0 1 1 1 1 2     4  1 1 0 1 1 1 2 1
2017 12 30     2  0 2 0 0 1 1 1 1     1  0 0 0 0 1 1 0 0     3  1 1 1 0 1 1 1 2
2017 12 31     2  0 1 0 0 0 1 2 1     2  0 0 0 0 1 1 1 1     4  1 0 0 0 0 1 2 2
