:Product: Daily Particle Data        quar_DPD.txt
:Issued: 0223 UT 07 Jul 2018
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comments and suggestions to SWPC.Webmaster@noaa.gov
#
#               Current Quarter Daily Particle Data
#
#              GOES-15 Proton Fluence     GOES-15 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.8 MeV   >2 MeV           % of bkgd
#-------------------------------------------------------------------------------
2018 05 23    8.2e+05  1.7e+04  3.3e+03   3.0e+08    5.4e+06          -999.99
2018 05 24    4.3e+05  1.7e+04  3.4e+03   3.6e+08    4.2e+06          -999.99
2018 05 25    4.5e+05  1.8e+04  3.6e+03   4.5e+08    8.2e+06          -999.99
2018 05 26    6.9e+05  1.8e+04  3.9e+03   5.0e+08    1.2e+07          -999.99
2018 05 27    5.7e+05  1.8e+04  3.6e+03   3.5e+08    1.3e+07          -999.99
2018 05 28    6.8e+05  1.8e+04  3.5e+03   2.6e+08    9.6e+06          -999.99
2018 05 29    5.9e+05  1.8e+04  3.8e+03   1.6e+08    4.4e+06          -999.99
2018 05 30    7.4e+05  1.8e+04  3.9e+03   1.5e+08    4.8e+06          -999.99
2018 05 31    9.5e+05  1.9e+04  4.0e+03   1.2e+08    8.2e+06          -999.99
2018 06 01    2.3e+06  1.8e+04  3.7e+03   3.5e+09    8.4e+07          -999.99
2018 06 02    2.2e+06  1.7e+04  3.6e+03   9.2e+09    7.4e+08          -999.99
2018 06 03    2.0e+06  1.8e+04  3.5e+03   8.7e+09    7.9e+08          -999.99
2018 06 04    1.6e+06  1.8e+04  3.7e+03   1.0e+10    9.1e+08          -999.99
2018 06 05    1.7e+06  1.9e+04  3.9e+03   8.2e+09    6.9e+08          -999.99
2018 06 06    1.8e+06  1.9e+04  3.9e+03   8.0e+09    6.7e+08          -999.99
2018 06 07    6.5e+05  1.9e+04  4.0e+03   2.2e+09    8.4e+07          -999.99
2018 06 08    7.5e+05  1.9e+04  4.1e+03   2.3e+09    7.3e+07          -999.99
2018 06 09    7.6e+05  1.9e+04  4.0e+03   2.2e+09    7.8e+07          -999.99
2018 06 10    7.7e+05  1.9e+04  3.9e+03   2.1e+09    7.1e+07          -999.99
2018 06 11    9.7e+05  2.0e+04  3.9e+03   1.9e+09    7.3e+07          -999.99
2018 06 12    7.6e+05  1.9e+04  3.7e+03   1.3e+09    5.0e+07          -999.99
2018 06 13    1.2e+06  1.9e+04  3.9e+03   1.1e+09    5.2e+07          -999.99
2018 06 14    9.8e+05  1.8e+04  3.8e+03   4.2e+08    2.0e+07          -999.99
2018 06 15    7.9e+05  1.9e+04  3.6e+03   3.4e+08    1.6e+07          -999.99
2018 06 16    7.7e+05  1.9e+04  3.7e+03   3.8e+08    2.1e+07          -999.99
2018 06 17    1.1e+06  1.9e+04  3.7e+03   3.0e+08    2.2e+07          -999.99
2018 06 18    6.3e+05  1.8e+04  3.4e+03   2.6e+08    1.6e+06          -999.99
2018 06 19    3.7e+05  1.8e+04  3.4e+03   2.0e+09    5.1e+06          -999.99
2018 06 20    3.9e+05  1.8e+04  3.2e+03   2.3e+09    6.5e+06          -999.99
2018 06 21    3.8e+05  1.8e+04  3.9e+03   2.2e+09    8.1e+06          -999.99
2018 06 22    5.8e+05  1.9e+04  3.8e+03   2.1e+09    1.0e+07          -999.99
2018 06 23    6.0e+05  1.8e+04  3.4e+03   5.6e+08    9.9e+05          -999.99
2018 06 24    7.4e+05  1.8e+04  3.5e+03   3.5e+09    3.3e+07          -999.99
2018 06 25    9.9e+05  1.8e+04  4.1e+03   4.5e+09    5.0e+07          -999.99
2018 06 26    5.5e+05  1.8e+04  3.5e+03   2.2e+09    4.2e+07          -999.99
2018 06 27    5.0e+05  1.7e+04  3.7e+03   5.4e+09    1.3e+08          -999.99
2018 06 28    9.5e+05  1.9e+04  3.7e+03   8.0e+09    2.2e+08          -999.99
2018 06 29    8.9e+05  1.9e+04  3.7e+03   7.2e+09    2.2e+08          -999.99
2018 06 30    1.2e+06  1.8e+04  3.7e+03   6.7e+09    2.3e+08          -999.99
